image_filename,pattern,camera,width,height,corners_expected,corners_found,found_ok,rms_px,blur_lapl_var,coverage_frac,tilt_deg,quality_class,notes
20250822_104429767_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.173005148768425,125.90856187869355,0.05178819444444444,,POOR,
20250822_104444239_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.9253014326095581,79.44190342714285,0.1932079475308642,,POOR,
20250822_104449716_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.9449701905250549,111.34182002033405,0.1879029224537037,,POOR,
20250822_104451127_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,1.638210654258728,43.734533658189726,0.11925419560185185,,POOR,
20250822_104452855_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,2.15527606010437,74.93801162891153,0.16631896219135803,,POOR,
20250822_104454888_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,2.05021333694458,85.2414521933917,0.16023509837962963,,POOR,
20250822_104456992_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,1.3614505529403687,292.9965644265928,0.0640943287037037,,POOR,
20250822_104458470_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.5134053826332092,335.74306952253136,0.2103855613425926,,AVERAGE,
20250822_104459888_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.37629643082618713,324.7231695360536,0.16086829668209876,,POOR,
20250822_104503489_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.590876579284668,194.39401568321267,0.17946855709876544,,POOR,
20250822_104504637_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.613159716129303,269.71640335552905,0.1364457947530864,,POOR,
20250822_104506564_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.9700368046760559,89.95627394396601,0.06563416280864197,,POOR,
20250822_104507671_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.44866564869880676,122.29718667975948,0.03315152391975309,,POOR,
20250822_104508700_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.3288886845111847,86.08188773948554,0.027973331404320987,,POOR,
20250822_104509763_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.3067943751811981,93.28519677585878,0.027575231481481482,,POOR,
20250822_104513166_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.283888578414917,155.43070196020992,0.030479600694444445,,POOR,
20250822_104514542_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.2222372144460678,74.74200423507422,0.10893422067901234,,POOR,
20250822_104516158_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.7095971703529358,119.5923816811474,0.10203317901234568,,POOR,
20250822_104518745_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.8057796359062195,74.25510188465694,0.25414930555555554,,AVERAGE,
20250822_104522639_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.5985583662986755,70.38009702449848,0.12474633487654321,,POOR,
20250822_104524311_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.7830872535705566,74.03041710928926,0.03790943287037037,,POOR,
20250822_104525515_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.7608315944671631,99.38083029093777,0.08315417631172839,,POOR,
20250822_104529869_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.4973042905330658,86.59634487128834,0.03512827932098765,,POOR,
20250822_104531966_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.48375964164733887,73.0316933286795,0.0345165412808642,,POOR,
20250822_104533624_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.19651176035404205,135.48376265918793,0.02359471450617284,,POOR,
20250822_104535025_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.1538715958595276,201.39229741384256,0.023289689429012345,,POOR,
